yourlist:M20190514216DA2B77BFBD2E6699CA9B6D1C41EB217BE5C9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1x1z	O26232	PYRF_METTH	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF MTH_129	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	228
1x2a	P00509	AAT_ECOLI	reviewed	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC b0928 JW0911	Escherichia coli (strain K12)	396
1x77	Q9I4D4	FMNRE_PSEAE	reviewed	NAD(P)H-dependent FMN reductase PA1204 (EC 1.-.-.-)	PA1204	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	185
1xkj	P07739	LUXB_VIBHA	reviewed	Alkanal monooxygenase beta chain (EC 1.14.14.3) (Bacterial luciferase beta chain)	luxB	Vibrio harveyi (Beneckea harveyi)	324
1z3a	P68398	TADA_ECOLI	reviewed	tRNA-specific adenosine deaminase (EC 3.5.4.33)	tadA yfhC b2559 JW2543	Escherichia coli (strain K12)	167
1zop	P20701	ITAL_HUMAN	reviewed	Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (CD antigen CD11a)	ITGAL CD11A	Homo sapiens (Human)	1170
2a4n	Q47764	Q47764_ENTFC	unreviewed	Aac(6')-Ii protein	aac(6')-Ii	Enterococcus faecium (Streptococcus faecium)	182
2a4x	O05205	O05205_STRLA	unreviewed	Mitomycin-binding protein (Mrd)	mrd	Streptomyces lavendulae	130
2ag8	Q9K1N1	Q9K1N1_NEIMB	unreviewed	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC NMB0055	Neisseria meningitidis serogroup B (strain MC58)	263
2aj9	P9WNG3	FABH_MYCTU	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (MtFabH)	fabH Rv0533c MTCY25D10.12c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	335
2ak7	O06976	CRH_BACSU	reviewed	HPr-like protein Crh (Catabolite repression HPr)	crh yvcM BSU34740	Bacillus subtilis (strain 168)	85
2aps	P24702	SODC_ACTPL	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)	190
2av6	P00490	PHSM_ECOLI	reviewed	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	Escherichia coli (strain K12)	797
2ay8	P95468	TYRB_PARDE	reviewed	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57)	tyrB	Paracoccus denitrificans	394
2bk3	P27338	AOFB_HUMAN	reviewed	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	MAOB	Homo sapiens (Human)	520
2blg	P02754	LACB_BOVIN	reviewed	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	LGB	Bos taurus (Bovine)	178
2bt3	P46881	PAOX_ARTGO	reviewed	Phenylethylamine oxidase (EC 1.4.3.21) (Primary amine oxidase)		Arthrobacter globiformis	638
2c9s	P00441	SODC_HUMAN	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	SOD1	Homo sapiens (Human)	154
2cai	P30113	GST28_SCHBO	reviewed	Glutathione S-transferase class-mu 28 kDa isozyme (GST 28) (EC 2.5.1.18) (Sb28GST)		Schistosoma bovis (Blood fluke)	211
2ccy	P00152	CYCP_PHAMO	reviewed	Cytochrome c'		Phaeospirillum molischianum (Rhodospirillum molischianum)	128
2dab	P19938	DAAA_BACYM	reviewed	D-alanine aminotransferase (EC 2.6.1.21) (D-amino acid aminotransferase) (D-amino acid transaminase) (DAAT) (D-aspartate aminotransferase)	dat	Bacillus sp. (strain YM-1)	283
2dld	P30901	LDHD_LACHE	reviewed	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (D-specific 2-hydroxyacid dehydrogenase)		Lactobacillus helveticus (Lactobacillus suntoryeus)	337
2dpg	P11411	G6PD_LEUME	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.363) (Glucose-6-phosphate dehydrogenase (NAD(P)(+)))	zwf	Leuconostoc mesenteroides	486
2dts	P01857	IGHG1_HUMAN	reviewed	Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE)	IGHG1	Homo sapiens (Human)	330
2f48	P70826	PFP_BORBU	reviewed	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)	pfp PFK2 pfpB BB_0020	Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680)	555
2f5c	P54512	MNTR_BACSU	reviewed	HTH-type transcriptional regulator MntR (Manganese transport regulator) (Manganese(II) metalloregulatory protein MntR)	mntR yqhN BSU24520	Bacillus subtilis (strain 168)	142
2fbz	O34453	NOSO_BACSU	reviewed	Nitric oxide synthase oxygenase (EC 1.14.14.47) (NOSoxy-like protein)	nos yflM BSU07630	Bacillus subtilis (strain 168)	363
2ff2	Q9GPQ4	Q9GPQ4_TRYVI	unreviewed	IAG-nucleoside hydrolase		Trypanosoma vivax (Duttonella vivax)	327
2fts	P20781	GLRB_RAT	reviewed	Glycine receptor subunit beta (Glycine receptor 58 kDa subunit)	Glrb	Rattus norvegicus (Rat)	496
2fts	Q03555	GEPH_RAT	reviewed	Gephyrin (Putative glycine receptor-tubulin linker protein) [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	Gphn Gph	Rattus norvegicus (Rat)	768
2g6w	P12998	BIOF_ECOLI	reviewed	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF b0776 JW0759	Escherichia coli (strain K12)	384
2gsq	P46088	GST_NOTSL	reviewed	Glutathione S-transferase (EC 2.5.1.18) (GST class-sigma)		Nototodarus sloanii (Wellington flying squid) (Ommastrephes sloanei)	203
2h4x	P07738	PMGE_HUMAN	reviewed	Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (2,3-diphosphoglycerate mutase) (DPGM) (BPG-dependent PGAM)	BPGM	Homo sapiens (Human)	259
2hgs	P48637	GSHB_HUMAN	reviewed	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	GSS	Homo sapiens (Human)	474
2hr5	Q9UWP7	Q9UWP7_9EURY	unreviewed	Rubrerythrin		Pyrococcus furiosus	171
2itg	P12497	POL_HV1N5	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Human immunodeficiency virus type 1 group M subtype B (isolate NY5) (HIV-1)	1435
2j6h	P17169	GLMS_ECOLI	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS b3729 JW3707	Escherichia coli (strain K12)	609
2lig	P02941	MCP2_SALTY	reviewed	Methyl-accepting chemotaxis protein II (MCP-II) (Aspartate chemoreceptor protein)	tar cheM STM1919	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	553
2nad	P33160	FDH_PSESR	reviewed	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)		Pseudomonas sp. (strain 101) (Achromobacter parvulus T1)	401
2nqn	P12281	MOEA_ECOLI	reviewed	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	moeA bisB chlE narE b0827 JW0811	Escherichia coli (strain K12)	411
2opy	P98170	XIAP_HUMAN	reviewed	E3 ubiquitin-protein ligase XIAP (EC 2.3.2.27) (Baculoviral IAP repeat-containing protein 4) (IAP-like protein) (ILP) (hILP) (Inhibitor of apoptosis protein 3) (IAP-3) (hIAP-3) (hIAP3) (RING-type E3 ubiquitin transferase XIAP) (X-linked inhibitor of apoptosis protein) (X-linked IAP)	XIAP API3 BIRC4 IAP3	Homo sapiens (Human)	497
2oz9	P0A881	TRPR_ECOLI	reviewed	Trp operon repressor	trpR rtrY b4393 JW4356	Escherichia coli (strain K12)	108
2pfl	P09373	PFLB_ECOLI	reviewed	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)	pflB pfl b0903 JW0886	Escherichia coli (strain K12)	760
2phk	P00518	PHKG1_RABIT	reviewed	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1) (EC 2.7.11.26)	PHKG1 PHKG	Oryctolagus cuniculus (Rabbit)	387
2qjd	Q8UWK5	Q8UWK5_ICTPU	unreviewed	Novel immune-type receptor 10 (novel immune-type receptor 10 precursor)	NITR10 nitr10	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	206
2snw	P03316	POLS_SINDV	reviewed	Structural polyprotein (p130) [Cleaved into: Capsid protein (EC 3.4.21.90) (Coat protein) (C); Precursor of protein E3/E2 (p62) (pE2); Assembly protein E3; Spike glycoprotein E2 (E2 envelope glycoprotein); 6K protein; Spike glycoprotein E1 (E1 envelope glycoprotein)]		Sindbis virus (SINV)	1245
2tmk	P00572	KTHY_YEAST	reviewed	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	CDC8 YJR057W J1715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216
2z9a	P07602	SAP_HUMAN	reviewed	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	PSAP GLBA SAP1	Homo sapiens (Human)	524
3gar	P08179	PUR3_ECOLI	reviewed	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN b2500 JW2485	Escherichia coli (strain K12)	212
3gsb	P24630	GSA_SYNP6	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa syc0881_c	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans)	433
3kz9	Q9L8G8	Q9L8G8_VIBVL	unreviewed	LuxR family transcriptional regulator (Quorum-sensing regulator of virulence HapR) (SmcR) (SmcR-like protein) (TetR/AcrR family transcriptional regulator) (VvpR)	smcR vvpR CRN32_08135 CRN52_17705 CRN59_13285 CRN61_16390 FORC36_2381 JS86_16400	Vibrio vulnificus	205
3ljr	P0CG30	GSTT2_HUMAN	reviewed	Glutathione S-transferase theta-2B (EC 2.5.1.18) (GST class-theta-2) (Glutathione S-transferase theta-2)	GSTT2B GSTT2	Homo sapiens (Human)	244
3orq	A0A0H3KFM7	A0A0H3KFM7_STAAE	unreviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK NWMN_0934	Staphylococcus aureus (strain Newman)	374
3sdh	P02213	GLB1_ANAIN	reviewed	Globin-1 (Dimeric hemoglobin) (Globin I) (HbI)		Anadara inaequivalvis (Inequivalve ark) (Scapharca inaequivalvis)	146
4cpv	P02618	PRVB_CYPCA	reviewed	Parvalbumin beta		Cyprinus carpio (Common carp)	108
4fiv	P16088	POL_FIVPE	reviewed	Pol polyprotein [Cleaved into: Protease (Retropepsin) (EC 3.4.23.-); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2); Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	pol	Feline immunodeficiency virus (isolate Petaluma) (FIV)	1124
4fiv	Q66972	Q66972_9RETR	unreviewed	POL protein	POL	Feline immunodeficiency virus	1124
4mdh	P11708	MDHC_PIG	reviewed	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)	MDH1	Sus scrofa (Pig)	334
4vhb	P04252	BAHG_VITST	reviewed	Bacterial hemoglobin (Soluble cytochrome O)	vhb	Vitreoscilla stercoraria	146
4vub	P62554	CCDB_ECOLI	reviewed	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD ECOK12F043	Escherichia coli (strain K12)	101
5enl	P00924	ENO1_YEAST	reviewed	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	ENO1 ENOA HSP48 YGR254W G9160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437
6csc	P23007	CISY_CHICK	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	CS	Gallus gallus (Chicken)	433
6gsy	P04905	GSTM1_RAT	reviewed	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST 3-3) (GSTM1-1) (Glutathione S-transferase Yb-1) (GST Yb1)	Gstm1	Rattus norvegicus (Rat)	218
8cho	P00947	SDIS_COMTE	reviewed	Steroid Delta-isomerase (EC 5.3.3.1) (Delta(5)-3-ketosteroid isomerase)	ksi	Comamonas testosteroni (Pseudomonas testosteroni)	125
9rub	P04718	RBL2_RHORU	reviewed	Ribulose bisphosphate carboxylase (RuBisCO) (EC 4.1.1.39)	cbbM cbbL2 rbpL	Rhodospirillum rubrum	466
